trigger,start_s,end_s,allowed,match,match debug1
17,59.282000,59.284000,1,1,1
81,61.267000,61.269000,1,1,1
1,61.959000,61.961000,1,1,1
81,63.944000,63.946000,1,1,1
25,64.628000,64.630000,1,1,1
81,66.606000,66.608000,1,1,1
28,67.280000,67.282000,1,1,1
81,69.259000,69.261000,1,1,1
11,69.966000,69.968000,1,1,1
201,70.959000,70.961000,1,0,NaN
81,71.968000,71.970000,1,1,1
40,72.960000,72.962000,1,1,1
81,74.945000,74.947000,1,1,1
31,75.629000,75.631000,1,1,1
201,76.606000,76.608000,1,0,NaN
201,76.907000,76.909000,1,0,NaN
201,77.090000,77.092000,1,0,NaN
201,77.241000,77.243000,1,0,NaN
201,77.407000,77.409000,1,0,NaN
201,77.540000,77.542000,1,0,NaN
81,77.607000,77.609000,1,1,1
20,78.598000,78.600000,1,1,1
81,80.583000,80.585000,1,1,1
38,81.267000,81.269000,1,1,1
201,81.294000,81.296000,1,0,NaN
81,83.245000,83.247000,1,1,1
102,84.245000,84.247000,1,1,1
100,84.995000,84.997000,1,1,1
101,86.180000,86.182000,1,1,1
103,86.223000,86.225000,1,1,1
40,87.222000,87.224000,1,1,1
81,89.207000,89.209000,1,1,1
3,89.883000,89.885000,1,1,1
81,91.861000,91.863000,1,1,1
22,92.552000,92.554000,1,1,1
81,94.530000,94.532000,1,1,1
7,95.195000,95.197000,1,1,1
81,97.173000,97.175000,1,1,1
12,97.864000,97.866000,1,1,1
81,99.842000,99.844000,1,1,1
15,100.533000,100.535000,1,1,1
81,102.511000,102.513000,1,1,1
102,103.202000,103.204000,1,1,1
100,103.669000,103.671000,1,1,1
101,104.854000,104.855000,1,1,1
103,105.187000,105.189000,1,1,1
16,106.180000,106.182000,1,1,1
81,108.165000,108.167000,1,1,1
36,108.865000,108.867000,1,1,1
81,110.843000,110.845000,1,1,1
37,111.526000,111.528000,1,1,1
81,113.504000,113.506000,1,1,1
35,114.195000,114.197000,1,1,1
81,116.172000,116.174000,1,1,1
14,116.864000,116.866000,1,1,1
81,118.841000,118.843000,1,1,1
3,119.507000,119.509000,1,1,1
81,121.485000,121.487000,1,1,1
19,122.176000,122.178000,1,1,1
81,124.161000,124.163000,1,1,1
23,124.845000,124.847000,1,1,1
81,126.830000,126.832000,1,1,1
18,127.514000,127.516000,1,1,1
81,129.499000,129.501000,1,1,1
31,130.158000,130.160000,1,1,1
81,132.136000,132.138000,1,1,1
21,132.810000,132.812000,1,1,1
81,134.788000,134.790000,1,1,1
16,135.454000,135.456000,1,1,1
81,137.432000,137.434000,1,1,1
34,138.123000,138.125000,1,1,1
81,140.101000,140.103000,1,1,1
11,140.767000,140.769000,1,1,1
81,142.745000,142.747000,1,1,1
18,143.419000,143.421000,1,1,1
81,145.397000,145.399000,1,1,1
15,146.071000,146.073000,1,1,1
81,148.056000,148.058000,1,1,1
102,148.715000,148.717000,1,1,1
100,149.176000,149.178000,1,1,1
201,150.176000,150.178000,1,0,NaN
201,150.327000,150.329000,1,0,NaN
101,150.361000,150.363000,1,1,1
103,150.693000,150.695000,1,1,1
17,151.701000,151.703000,1,1,1
81,153.686000,153.688000,1,1,1
201,154.355000,154.357000,1,0,NaN
35,154.378000,154.380000,1,1,1
81,156.363000,156.365000,1,1,1
23,157.347000,157.349000,1,1,1
81,159.332000,159.334000,1,1,1
102,159.991000,159.993000,1,1,1
100,160.525000,160.527000,1,1,1
101,161.709000,161.711000,1,1,1
103,161.976000,161.978000,1,1,1
10,162.944000,162.946000,1,1,1
81,164.929000,164.931000,1,1,1
24,165.588000,165.590000,1,1,1
81,167.566000,167.568000,1,1,1
102,168.232000,168.234000,1,1,1
100,168.427000,168.429000,1,1,1
101,169.613000,169.615000,1,1,1
103,170.210000,170.212000,1,1,1
12,171.267000,171.269000,1,1,1
81,173.252000,173.254000,1,1,1
39,173.911000,173.913000,1,1,1
81,175.896000,175.898000,1,1,1
