trigger,time_s
17,0.520241
81,2.503575
1,3.042845
81,5.026178
25,5.563322
81,7.546655
28,8.102209
81,10.085542
11,10.626805
81,12.610138
40,13.149536
81,15.132870
31,15.661008
81,17.644341
20,18.183188
81,20.166522
38,20.701889
81,22.685223
102,23.226292
100,23.976292
101,25.176292
103,25.209625
40,25.763509
81,27.746843
3,28.273345
81,30.256678
22,30.785722
81,32.769056
7,33.301365
81,35.284699
12,35.812176
81,37.795510
15,38.326177
81,40.309510
102,40.863626
100,41.330293
101,42.530293
103,42.846959
16,43.378741
81,45.362075
36,45.909727
81,47.893061
37,48.411350
81,50.394683
35,50.923296
81,52.906630
14,53.451400
81,55.434733
3,55.969490
81,57.952823
19,58.505084
81,60.488418
23,61.022488
81,63.005822
18,63.547431
81,65.530764
31,66.070846
81,68.054179
21,68.594811
81,70.578145
16,71.121039
81,73.104372
34,73.641490
81,75.624823
11,76.149237
81,78.132571
18,78.651996
81,80.635329
15,81.162078
81,83.145411
102,83.665885
100,84.132552
101,85.332552
103,85.649219
17,86.170411
81,88.153744
35,88.681634
81,90.664967
23,91.205335
81,93.188668
102,93.719064
100,94.252397
101,95.452397
103,95.702397
10,96.250178
81,98.233511
24,98.788793
81,100.772126
102,101.302067
100,101.502067
101,102.702067
103,103.285400
12,103.811518
81,105.794851
39,106.339031
81,108.322365
102,108.861938
100,109.378604
101,110.578604
103,110.845271
32,111.392720
81,113.376053
19,113.917397
81,115.900730
26,116.428577
81,118.411911
33,118.965022
81,120.948355
2,121.487939
81,123.471273
24,124.016672
81,126.000005
4,126.543567
81,128.526900
27,129.074358
81,131.057692
13,131.604455
81,133.587788
13,134.120867
81,136.104200
39,136.622384
81,138.605717
5,139.141783
81,141.125116
102,141.677597
100,142.360930
101,143.560930
103,143.660930
27,144.183379
81,146.166712
6,146.714659
81,148.697993
102,149.240874
100,149.457541
101,150.657541
103,151.224207
21,151.769101
81,153.752435
29,154.277825
81,156.261159
102,156.780839
100,156.980839
101,158.180839
103,158.764172
29,159.291550
81,161.274883
37,161.816479
81,163.799813
6,164.332023
81,166.315356
22,166.842214
81,168.825548
14,169.358097
81,171.341430
9,171.887212
81,173.870546
36,174.397433
81,176.380766
102,176.919222
100,177.185888
101,178.385888
103,178.902555
26,179.435477
81,181.418811
1,181.975200
81,183.958533
25,184.509354
81,186.492688
34,187.038255
81,189.021588
5,189.560280
81,191.543613
8,192.076210
81,194.059544
7,194.603322
81,196.586656
4,197.137009
81,199.120342
32,199.642609
81,201.625942
