trigger,start_s,end_s,allowed,match
11,20.646000,20.648000,1,1
81,23.299000,23.301000,1,1
33,23.966000,23.968000,1,1
81,26.618000,26.620000,1,1
20,27.285000,27.287000,1,1
81,29.937000,29.939000,1,1
102,30.588000,30.590000,1,1
100,31.080000,31.082000,1,1
201,31.876000,31.878000,1,0
101,NaN,NaN,1,MISSING
103,33.249000,33.251000,1,1
19,33.916000,33.918000,1,1
81,36.568000,36.570000,1,1
21,37.227000,37.229000,1,1
81,39.879000,39.881000,1,1
37,40.538000,40.540000,1,1
81,43.190000,43.192000,1,1
26,43.849000,43.851000,1,1
81,46.501000,46.503000,1,1
34,47.152000,47.154000,1,1
81,49.804000,49.806000,1,1
40,50.463000,50.465000,1,1
81,53.115000,53.117000,1,1
23,53.766000,53.768000,1,1
81,56.418000,56.420000,1,1
18,57.077000,57.079000,1,1
81,59.729000,59.731000,1,1
6,60.388000,60.390000,1,1
81,63.040000,63.042000,1,1
12,63.691000,63.693000,1,1
81,66.343000,66.345000,1,1
102,67.002000,67.004000,1,1
100,67.352000,67.354000,1,1
101,NaN,NaN,1,MISSING
103,69.654000,69.656000,1,1
13,70.613000,70.615000,1,1
81,73.265000,73.267000,1,1
5,73.916000,73.918000,1,1
81,76.568000,76.570000,1,1
31,77.219000,77.221000,1,1
81,79.871000,79.873000,1,1
2,80.521000,80.523000,1,1
81,83.174000,83.176000,1,1
23,83.824000,83.826000,1,1
81,86.476000,86.478000,1,1
16,87.135000,87.137000,1,1
81,89.788000,89.790000,1,1
39,90.446000,90.448000,1,1
81,93.099000,93.101000,1,1
17,93.758000,93.760000,1,1
81,96.410000,96.412000,1,1
13,97.069000,97.071000,1,1
81,99.721000,99.723000,1,1
4,100.371000,100.373000,1,1
81,103.024000,103.026000,1,1
1,103.674000,103.676000,1,1
81,106.326000,106.328000,1,1
36,106.977000,106.979000,1,1
81,109.629000,109.631000,1,1
10,110.296000,110.298000,1,1
81,112.949000,112.951000,1,1
15,113.607000,113.609000,1,1
81,116.260000,116.262000,1,1
22,116.919000,116.921000,1,1
81,119.571000,119.573000,1,1
39,120.221000,120.223000,1,1
81,122.874000,122.876000,1,1
21,123.524000,123.526000,1,1
81,126.176000,126.178000,1,1
3,126.835000,126.837000,1,1
81,129.487000,129.489000,1,1
19,130.146000,130.148000,1,1
81,132.799000,132.801000,1,1
29,133.457000,133.459000,1,1
81,136.110000,136.112000,1,1
102,136.769000,136.771000,1,1
100,137.519000,137.521000,1,1
101,NaN,NaN,1,MISSING
103,139.421000,139.423000,1,1
36,140.372000,140.374000,1,1
81,143.024000,143.026000,1,1
32,143.683000,143.685000,1,1
81,146.335000,146.337000,1,1
4,146.994000,146.996000,1,1
81,149.646000,149.648000,1,1
34,150.305000,150.307000,1,1
