trial,trial_exp,run,block,trigger,start_s,end_s,allowed,match
1,1,1,1,40,43.585000,43.587000,1,1
1,1,1,1,81,46.246000,46.248000,1,1
2,2,1,1,18,46.779000,46.781000,1,1
2,2,1,1,81,49.440000,49.442000,1,1
3,3,1,1,14,49.982000,49.984000,1,1
3,3,1,1,81,52.637000,52.639000,1,1
4,4,1,1,26,53.168000,53.170000,1,1
4,4,1,1,81,55.823000,55.825000,1,1
5,5,1,1,20,56.379000,56.381000,1,1
5,5,1,1,81,59.040000,59.042000,1,1
6,6,1,1,102,59.582000,59.584000,1,1
6,6,1,1,100,60.858000,60.860000,1,1
6,6,1,1,101,62.117000,62.119000,1,1
6,6,1,1,103,62.242000,62.244000,1,1
7,7,1,1,29,63.093000,63.095000,1,1
7,7,1,1,81,65.754000,65.756000,1,1
8,8,1,1,102,66.304000,66.306000,1,1
8,8,1,1,100,66.821000,66.823000,1,1
8,8,1,1,101,68.081000,68.083000,1,1
8,8,1,1,103,68.965000,68.967000,1,1
9,9,1,1,4,69.807000,69.809000,1,1
9,9,1,1,81,72.462000,72.464000,1,1
10,10,1,1,36,73.001000,73.003000,1,1
10,10,1,1,201,74.788000,74.790000,1,RESPONSE
10,10,1,1,81,75.679000,75.681000,1,1
11,11,1,1,2,76.513000,76.515000,1,1
11,11,1,1,202,76.800000,76.802000,0,NaN
11,11,1,1,202,76.908000,76.910000,0,NaN
11,11,1,1,201,77.234000,77.236000,1,RESPONSE
11,11,1,1,201,77.375000,77.377000,1,RESPONSE
11,11,1,1,201,77.500000,77.502000,1,RESPONSE
11,11,1,1,201,77.625000,77.627000,1,RESPONSE
11,11,1,1,201,77.741000,77.743000,1,RESPONSE
11,11,1,1,81,79.173000,79.175000,1,1
12,12,1,1,11,80.007000,80.009000,1,1
12,12,1,1,81,82.668000,82.670000,1,1
13,13,1,1,31,83.210000,83.212000,1,1
13,13,1,1,81,85.865000,85.867000,1,1
14,14,1,1,1,86.413000,86.415000,1,1
14,14,1,1,81,89.067000,89.069000,1,1
15,15,1,1,36,89.590000,89.592000,1,1
15,15,1,1,81,92.251000,92.253000,1,1
16,16,1,1,28,92.793000,92.795000,1,1
16,16,1,1,81,95.453000,95.455000,1,1
17,17,1,1,19,95.971000,95.973000,1,1
17,17,1,1,81,98.631000,98.633000,1,1
18,18,1,1,37,99.165000,99.167000,1,1
18,18,1,1,81,101.825000,101.827000,1,1
19,19,1,1,10,102.351000,102.353000,1,1
19,19,1,1,81,105.011000,105.013000,1,1
20,20,1,1,102,105.537000,105.539000,1,1
20,20,1,1,100,106.262000,106.264000,1,1
20,20,1,1,101,107.522000,107.524000,1,1
20,20,1,1,103,108.192000,108.194000,1,1
21,21,1,1,26,109.040000,109.042000,1,1
21,21,1,1,81,111.700000,111.702000,1,1
22,22,1,1,31,112.217000,112.219000,1,1
22,22,1,1,81,114.878000,114.880000,1,1
23,23,1,1,24,115.403000,115.405000,1,1
23,23,1,1,81,118.058000,118.060000,1,1
24,24,1,1,9,118.589000,118.591000,1,1
24,24,1,1,81,121.250000,121.252000,1,1
25,25,1,1,6,121.809000,121.811000,1,1
25,25,1,1,150,122.388000,122.390000,1,GazeBreak
25,25,1,1,81,NaN,NaN,1,GazeBreak
26,26,1,1,102,124.928000,124.930000,1,1
26,26,1,1,100,125.712000,125.714000,1,1
26,26,1,1,101,126.971000,126.973000,1,1
26,26,1,1,103,127.589000,127.591000,1,1
27,27,1,1,38,128.423000,128.425000,1,1
27,27,1,1,81,131.083000,131.085000,1,1
28,28,1,1,21,131.625000,131.627000,1,1
28,28,1,1,81,134.286000,134.288000,1,1
29,29,1,1,102,134.820000,134.822000,1,1
29,29,1,1,100,135.854000,135.856000,1,1
