trigger,time_s
15,0.537746
81,3.196080
34,3.738466
81,6.396799
22,6.908021
81,9.566354
26,10.086333
81,12.744666
31,13.256469
81,15.914803
21,16.437132
81,19.095466
9,19.614986
81,22.273319
18,22.783485
81,25.441819
21,25.961770
81,28.620104
39,29.144203
81,31.802537
29,32.317066
81,34.975399
3,35.484672
81,38.143006
35,38.661175
81,41.319509
8,41.843732
81,44.502065
17,45.027302
81,47.685635
36,48.231209
81,50.889542
16,51.424533
81,54.082866
31,54.613859
81,57.272192
32,57.791587
81,60.449920
102,60.959314
100,61.742647
101,63.009314
103,63.617647
9,64.137077
81,66.795410
4,67.314912
81,69.973245
34,70.497721
81,73.156054
28,73.702589
81,76.360922
8,76.904173
81,79.562507
33,80.087731
81,82.746065
39,83.265788
81,85.924122
30,86.467945
81,89.126278
19,89.647865
81,92.306198
37,92.850352
81,95.508686
27,96.018383
81,98.676716
7,99.206570
81,101.864904
23,102.392834
81,105.051167
13,105.565321
81,108.223654
38,108.733688
81,111.392021
2,111.913498
81,114.571831
7,115.083546
81,117.741880
102,118.255284
100,119.205284
101,120.471951
103,120.913618
35,121.460100
81,124.118433
10,124.650164
81,127.308497
5,127.839803
81,130.498137
12,131.022825
81,133.681158
102,134.226015
100,135.084348
101,136.351015
103,136.884348
102,137.403203
100,137.644870
101,138.911537
103,140.061537
24,140.592464
81,143.250798
25,143.762037
81,146.420371
20,146.950354
81,149.608687
12,150.145257
81,152.803590
3,153.314334
81,155.972668
2,156.490942
81,159.149276
27,159.694925
81,162.353259
5,162.894786
81,165.553119
14,166.084848
81,168.743181
19,169.269607
81,171.927940
26,172.438668
81,175.097001
102,175.611041
100,176.336041
101,177.602708
103,178.269374
29,178.817263
81,181.475597
23,182.004042
81,184.662376
36,185.171477
81,187.829811
1,188.377421
81,191.035755
10,191.574780
81,194.233113
6,194.754236
81,197.412569
4,197.921426
81,200.579759
15,201.092184
81,203.750518
20,204.284587
81,206.942920
102,207.466614
100,208.408280
101,209.674947
103,210.124947
32,210.648736
81,213.307069
24,213.828470
81,216.486803
102,217.009305
100,217.634305
101,218.900971
103,219.667638
102,220.189208
100,220.680875
101,221.947542
103,222.847542
38,223.395152
81,226.053485
16,226.594596
81,229.252929
102,229.786641
100,231.086641
101,232.353307
103,232.444974
25,232.976636
81,235.634969
11,236.175160
81,238.833493
13,239.354009
81,242.012342
1,242.544123
81,245.202456
102,245.724011
100,246.232345
101,247.499011
103,248.382345
14,248.919498
81,251.577831
40,252.112297
81,254.770630
