trigger,start_s,end_s,allowed,match,match debug1
17,35.455000,35.457000,1,NaN,NaN
201,36.119000,36.121000,1,NaN,NaN
201,36.284000,36.286000,1,NaN,NaN
201,36.450000,36.452000,1,NaN,NaN
81,37.440000,37.442000,1,NaN,NaN
1,38.441000,38.443000,1,NaN,NaN
81,40.426000,40.428000,1,NaN,NaN
25,41.093000,41.095000,1,NaN,NaN
81,43.078000,43.080000,1,NaN,NaN
28,43.745000,43.747000,1,NaN,NaN
81,45.730000,45.732000,1,NaN,NaN
11,46.406000,46.408000,1,NaN,NaN
81,48.391000,48.393000,1,NaN,NaN
40,49.058000,49.060000,1,NaN,NaN
81,51.043000,51.045000,1,NaN,NaN
31,51.719000,51.721000,1,NaN,NaN
81,53.704000,53.706000,1,NaN,NaN
20,54.371000,54.373000,1,NaN,NaN
81,56.356000,56.358000,1,NaN,NaN
38,57.023000,57.025000,1,NaN,NaN
81,59.008000,59.010000,1,NaN,NaN
102,59.692000,59.694000,1,NaN,NaN
100,60.451000,60.453000,1,NaN,NaN
101,61.635000,61.637000,1,NaN,NaN
103,61.685000,61.687000,1,NaN,NaN
40,62.678000,62.680000,1,NaN,NaN
81,64.663000,64.665000,1,NaN,NaN
3,65.338000,65.340000,1,NaN,NaN
81,67.323000,67.325000,1,NaN,NaN
22,67.982000,67.984000,1,NaN,NaN
81,69.967000,69.969000,1,NaN,NaN
7,70.635000,70.636000,1,NaN,NaN
81,72.619000,72.621000,1,NaN,NaN
12,73.287000,73.289000,1,NaN,NaN
81,75.272000,75.274000,1,NaN,NaN
15,75.931000,75.933000,1,NaN,NaN
81,77.916000,77.918000,1,NaN,NaN
102,78.574000,78.576000,1,NaN,NaN
100,79.042000,79.044000,1,NaN,NaN
101,80.226000,80.228000,1,NaN,NaN
103,80.559000,80.561000,1,NaN,NaN
16,81.544000,81.546000,1,NaN,NaN
81,83.529000,83.531000,1,NaN,NaN
36,84.196000,84.198000,1,NaN,NaN
81,86.181000,86.183000,1,NaN,NaN
37,86.840000,86.842000,1,NaN,NaN
81,88.825000,88.827000,1,NaN,NaN
35,89.484000,89.486000,1,NaN,NaN
81,91.469000,91.471000,1,NaN,NaN
14,92.136000,92.138000,1,NaN,NaN
81,94.121000,94.123000,1,NaN,NaN
3,94.788000,94.790000,1,NaN,NaN
81,96.773000,96.775000,1,NaN,NaN
19,97.457000,97.459000,1,NaN,NaN
81,99.442000,99.444000,1,NaN,NaN
23,100.101000,100.103000,1,NaN,NaN
81,102.086000,102.088000,1,NaN,NaN
18,102.937000,102.939000,1,NaN,NaN
81,104.922000,104.923000,1,NaN,NaN
31,105.605000,105.607000,1,NaN,NaN
81,107.590000,107.592000,1,NaN,NaN
21,108.249000,108.251000,1,NaN,NaN
81,110.234000,110.236000,1,NaN,NaN
16,110.902000,110.903000,1,NaN,NaN
81,112.887000,112.888000,1,NaN,NaN
34,113.545000,113.547000,1,NaN,NaN
81,115.530000,115.532000,1,NaN,NaN
11,116.189000,116.191000,1,NaN,NaN
81,118.174000,118.176000,1,NaN,NaN
18,118.833000,118.835000,1,NaN,NaN
81,120.818000,120.820000,1,NaN,NaN
15,121.485000,121.487000,1,NaN,NaN
81,123.470000,123.472000,1,NaN,NaN
102,124.129000,124.131000,1,NaN,NaN
100,124.596000,124.598000,1,NaN,NaN
101,125.781000,125.783000,1,NaN,NaN
103,126.114000,126.116000,1,NaN,NaN
17,127.098000,127.100000,1,NaN,NaN
81,129.083000,129.085000,1,NaN,NaN
35,129.759000,129.761000,1,NaN,NaN
81,131.744000,131.746000,1,NaN,NaN
23,132.411000,132.413000,1,NaN,NaN
81,134.396000,134.398000,1,NaN,NaN
102,135.080000,135.082000,1,NaN,NaN
100,135.614000,135.616000,1,NaN,NaN
101,136.798000,136.800000,1,NaN,NaN
103,137.065000,137.067000,1,NaN,NaN
10,138.058000,138.060000,1,NaN,NaN
81,140.043000,140.045000,1,NaN,NaN
24,140.701000,140.703000,1,NaN,NaN
81,142.686000,142.688000,1,NaN,NaN
102,143.354000,143.356000,1,NaN,NaN
100,143.554000,143.556000,1,NaN,NaN
101,144.738000,144.740000,1,NaN,NaN
103,145.339000,145.341000,1,NaN,NaN
12,146.331000,146.333000,1,NaN,NaN
81,148.316000,148.318000,1,NaN,NaN
39,148.983000,148.985000,1,NaN,NaN
81,150.968000,150.970000,1,NaN,NaN
102,151.627000,151.629000,1,NaN,NaN
100,152.144000,152.146000,1,NaN,NaN
101,153.329000,153.331000,1,NaN,NaN
103,153.612000,153.614000,1,NaN,NaN
32,154.830000,154.832000,1,NaN,NaN
81,156.815000,156.817000,1,NaN,NaN
19,157.474000,157.476000,1,NaN,NaN
81,159.459000,159.461000,1,NaN,NaN
26,160.143000,160.145000,1,NaN,NaN
81,162.128000,162.130000,1,NaN,NaN
33,162.787000,162.789000,1,NaN,NaN
81,164.772000,164.774000,1,NaN,NaN
2,165.430000,165.432000,1,NaN,NaN
81,167.415000,167.417000,1,NaN,NaN
24,168.074000,168.076000,1,NaN,NaN
81,170.059000,170.061000,1,NaN,NaN
4,170.743000,170.745000,1,NaN,NaN
81,172.728000,172.730000,1,NaN,NaN
27,173.395000,173.397000,1,NaN,NaN
81,175.380000,175.382000,1,NaN,NaN
13,176.048000,176.050000,1,NaN,NaN
81,178.033000,178.035000,1,NaN,NaN
13,178.692000,178.694000,1,NaN,NaN
81,180.677000,180.679000,1,NaN,NaN
39,181.335000,181.337000,1,NaN,NaN
81,183.320000,183.322000,1,NaN,NaN
5,183.988000,183.990000,1,NaN,NaN
81,185.973000,185.975000,1,NaN,NaN
102,186.632000,186.634000,1,NaN,NaN
100,187.315000,187.317000,1,NaN,NaN
101,188.500000,188.502000,1,NaN,NaN
103,188.617000,188.619000,1,NaN,NaN
27,189.584000,189.586000,1,NaN,NaN
81,191.569000,191.571000,1,NaN,NaN
6,192.253000,192.255000,1,NaN,NaN
81,194.238000,194.240000,1,NaN,NaN
102,194.897000,194.899000,1,NaN,NaN
100,195.114000,195.116000,1,NaN,NaN
101,196.298000,196.300000,1,NaN,NaN
103,196.882000,196.884000,1,NaN,NaN
21,197.841000,197.843000,1,NaN,NaN
81,199.826000,199.828000,1,NaN,NaN
29,200.493000,200.495000,1,NaN,NaN
81,202.478000,202.480000,1,NaN,NaN
102,203.137000,203.139000,1,NaN,NaN
100,203.337000,203.339000,1,NaN,NaN
101,204.522000,204.523000,1,NaN,NaN
103,205.122000,205.124000,1,NaN,NaN
29,206.106000,206.108000,1,NaN,NaN
81,208.091000,208.093000,1,NaN,NaN
37,208.750000,208.752000,1,NaN,NaN
81,210.735000,210.737000,1,NaN,NaN
6,211.402000,211.404000,1,NaN,NaN
81,213.387000,213.389000,1,NaN,NaN
22,214.054000,214.056000,1,NaN,NaN
81,216.039000,216.041000,1,NaN,NaN
14,216.698000,216.700000,1,NaN,NaN
81,218.683000,218.685000,1,NaN,NaN
9,219.351000,219.353000,1,NaN,NaN
81,221.336000,221.338000,1,NaN,NaN
36,221.994000,221.996000,1,NaN,NaN
81,223.979000,223.981000,1,NaN,NaN
102,224.647000,224.649000,1,NaN,NaN
100,224.914000,224.916000,1,NaN,NaN
101,226.098000,226.100000,1,NaN,NaN
103,226.632000,226.634000,1,NaN,NaN
26,227.616000,227.618000,1,NaN,NaN
81,229.601000,229.603000,1,NaN,NaN
1,230.268000,230.270000,1,NaN,NaN
81,232.253000,232.255000,1,NaN,NaN
25,232.912000,232.914000,1,NaN,NaN
81,234.897000,234.899000,1,NaN,NaN
34,235.564000,235.566000,1,NaN,NaN
81,237.549000,237.551000,1,NaN,NaN
5,238.208000,238.210000,1,NaN,NaN
81,240.193000,240.195000,1,NaN,NaN
8,240.852000,240.854000,1,NaN,NaN
81,242.837000,242.839000,1,NaN,NaN
7,243.496000,243.498000,1,NaN,NaN
81,245.481000,245.483000,1,NaN,NaN
4,246.148000,246.150000,1,NaN,NaN
81,248.133000,248.135000,1,NaN,NaN
32,248.792000,248.794000,1,NaN,NaN
81,250.777000,250.779000,1,NaN,NaN
59,365.856000,365.858000,1,NaN,NaN
81,367.841000,367.843000,1,NaN,NaN
62,368.509000,368.511000,1,NaN,NaN
81,370.494000,370.496000,1,NaN,NaN
46,371.153000,371.155000,1,NaN,NaN
81,373.138000,373.140000,1,NaN,NaN
75,373.796000,373.798000,1,NaN,NaN
81,375.781000,375.783000,1,NaN,NaN
44,376.440000,376.442000,1,NaN,NaN
81,378.425000,378.427000,1,NaN,NaN
102,379.084000,379.086000,1,NaN,NaN
100,379.301000,379.303000,1,NaN,NaN
101,380.485000,380.487000,1,NaN,NaN
103,381.069000,381.071000,1,NaN,NaN
54,382.028000,382.030000,1,NaN,NaN
81,384.013000,384.015000,1,NaN,NaN
41,384.681000,384.683000,1,NaN,NaN
81,386.666000,386.668000,1,NaN,NaN
62,387.324000,387.326000,1,NaN,NaN
81,389.309000,389.311000,1,NaN,NaN
80,389.968000,389.970000,1,NaN,NaN
81,391.953000,391.955000,1,NaN,NaN
102,392.612000,392.614000,1,NaN,NaN
